nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-type,datum-tijd-export,GGM-toelichting
16,BOA,Een buitengewoon opsporingsambtenaar (boa) is een ambtenaar met een specifieke opsporingsbevoegdheid.,Class,,{90B2A249-8D88-4a14-979F-672223D98E8C},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
17,Combibon,Een Combibon is een modelformulier dat handhavende ambtenaren gebruiken om geconstateerde overtredingen en de gekozen afdoeningsmodaliteit (bijv. bekeuring of strafbeschikking) vast te leggen.,Class,,{43D57BB8-C2E4-4b5a-A41C-C5CEC9D3877D},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
18,Fietsregistratie,Adminstreren van fietsen,Class,,{FF9A4A36-6674-4590-BC33-7B6DC5256490},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
19,Grondslag,"Een *grondslag* is de juridische of normatieve basis waarop een besluit, handeling of rechtspraak steunt; het is hetgeen zijn **basis vindt in wetgeving of andere geldende rechtsregels**.  ",Class,,{94E2B19A-6942-4164-8A52-3C0BBDE45808},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
20,Heffinggrondslag,"De maatstaf waarop een belasting is gebaseerd, het bedrag op basis waarvan een bepaalde belasting wordt geheven of de premie voor sociale zekerheid wordt vastgesteld.",Class,,{3D2D5426-653C-485c-A99C-8AD933E76D78},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
21,Heffingsverordening,"Een *heffingsverordening* is een door de gemeenteraad vastgestelde verordening die de **heffing en invordering van gemeentelijke belastingen en rechten** regelt, zoals afvalstoffenheffing, precariobelasting of marktgelden.  ",Class,,{C29CCD49-04E2-44b4-A6B0-AD8B10552628},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
22,Indiener,Persoon die meldiing of aanvraag doet,Class,,{E9AD325A-49CF-48a6-AA9E-7FB57E03E414},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
23,Inspectie,"het inwinnen, verwerken en interpreteren van informatie met het doel om de momentane toestand van de boezemkade vast te stellen.",Class,,{F73901FC-A78E-486f-B6C6-74CFCBE26CAB},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
24,Kosten,"*Kosten* zijn de prijs of uitgaven die men moet betalen voor het gebruik, verkrijgen of verbruiken van een product, dienst of middel, doorgaans uitgedrukt in geld.  ",Class,,{0E4A8F94-ED08-43dc-9F78-C9DD17D34690},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
25,Leges_Grondslag,"*Leges_Grondslag* is de basis of maatstaf waarop de heffing van leges wordt berekend, zoals de omvang van de werkzaamheden, bouwkosten of andere relevante parameters die in de legesverordening zijn vastgelegd.",Class,,{7F9392E5-6E43-4880-AF14-819E32A86204},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
26,Ligplaatsontheffing,Tijdelijke toestemming voor het innemen van een ligplaats op een locatie in een gebied met een verbod op ligplaatsen.,Class,,{872A0342-EA75-418e-9455-E51875BFD771},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
27,MORAanvraagOfMelding,"*MORAanvraagOfMelding* is een aanvraag of melding die een burger of organisatie doet bij de gemeente om een **situatie in de openbare ruimte te melden of te laten beoordelen**, zoals schade, overlast, gevaarlijke situaties of onderhoudsproblemen.  ",Class,,{80F23226-8DD8-4926-B8F1-F2A3C01A29BF},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
28,OpenbareActiviteit,Activiteit in het publieke domein,Class,,{B2B423C3-B9C9-4b4f-A47D-85D29417B9B4},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
29,Precario,"Belasting die specifiek wordt geheven voor het plaatsen van voorwerpen onder, op of boven voor de openbare dienst bestemde gemeentegrond. ",Class,,{13BB343D-A595-43c9-8208-9BC5B05B618C},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
30,Producttype,"Een *producttype* is een categorie of variant van producten die dezelfde aard of kenmerken delen, waarmee producten binnen een groep worden ingedeeld op basis van gemeenschappelijke eigenschappen.  ",Class,,{03B4B3C0-3616-4ea2-A8B1-3D6754325F02},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
31,SubProducttype,*SubProducttype* is een afgeleide of meer specifieke categorie binnen een *Producttype* die producten verder onderscheidt op basis van gedetailleerde kenmerken.  ,Class,,{0DB447E3-B31B-4f07-8E35-7E77D0AAEF80},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
32,Vaartuig,"Een zee- of binnenvaartuig, tot de vaart gebruikt of bestemd, daaronder begrepen drijvende werktuigen, zoals baggerwerktuigen, kranen, bokken, elevators, alsmede woonschepen, glijboten en ponten.",Class,,{D12123D3-D62D-4978-B7D4-8405F00A0D6A},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
33,VOMAanvraagOfMelding,"VOM staat voor Vergunning, Ontheffing of Melding. Het betreft hier een melding of een aanvraag voor een vergunning of een ontheffing.",Class,,{44B26957-BAA4-41c2-ABBF-CC1AC91D30D6},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
34,Vordering,"Een *vordering* is een juridisch recht dat een schuldeiser heeft om van een andere partij (schuldenaar) een prestatie te ontvangen, zoals een geldbedrag, levering van goederen of uitvoering van een dienst.  ",Class,,{341942C1-0F72-4e13-ADD1-235805BB81C0},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
35,Vorderingregel,"Een *vorderingregel* is een afzonderlijke regel of entry in een gegevensset of lijst die een specifieke *vordering* beschrijft, inclusief kenmerken zoals de omvang, datum, type en status van de vordering.  ",Class,,{E2B83F97-FDFD-4876-9E66-23D79D4A4C03},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
36,VTHAanvraagOfMelding,"VTH staat voor Vergunning, Toezicht en Handhaving. Het betreft hier een melding of een aanvraag voor een vergunning of een melding voor Toezicht en/of Handhaving.",Class,,{EAC249B9-13F7-472b-A971-05ED32006F04},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
37,VTH-Melding,"Melding met betrekking tot Vergunningen, Toezicht en Handhaving",Class,,{E9AEF0A9-11BC-4d2a-BC48-FB77F04EF9A6},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
38,VTHzaak,"Een *VTHzaak* is een zaak of dossier binnen de gemeentelijke administratie die betrekking heeft op **vergunningverlening, toezicht en handhaving (VTH)** van regels en voorschriften in de fysieke leefomgeving.  ",Class,,{88AF7A2E-C508-464a-AD22-DD9B156D570D},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
39,Waarneming,Handhavende taak in het kader van VTH,Class,,{DDC990BC-C026-4c98-BEE5-6692EA0C2515},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
40,WABOAanvraagOfMelding,Aanvraag of medling in het kader van de Wet algemene bepalingen omgevingsrecht (WABO),Class,,{192EA281-414F-4d8d-85D1-5C1B75224942},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
41,WoonfraudeAanvraagOfMelding,Melding of aanvraag van woonfraude,Class,,{5CE9E5F3-BA9A-47e4-A4C1-DE21E66E9F8E},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
42,WoonoverlastAanvraagOfMelding,Melding of aanvraag met betrekking tot Woonoverlast,Class,,{CB5BCFAA-01F3-468d-A5CE-4E08D3E4FFC2},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
43,Belprovider,Leverancier of dienstverlener van modiele beldiensten,Class,,{6C283ABA-C1A3-465b-B267-39E75D06E41F},,Parkeren,,,,,,,,,,,,20022026-121457,
44,MulderFeit,"Een administratieve overtreding met betrekking tot parkeren, zoals bepaald onder de Wet administratiefrechtelijke handhaving verkeersvoorschriften (WAHV), ook wel bekend als de Mulderwet.",Class,,{4EA4D754-FAD7-4caf-8060-342689EC16FE},,Parkeren,,,,,,,,,,,,20022026-121457,
45,Naheffing,Het achteraf vorderen van te weinig betaalde belasting ,Class,,{4957AC99-3F36-4959-A210-9EC6759B87F8},,Parkeren,,,,,,,,,,,,20022026-121457,
46,Parkeergarage,Open constructie die geheel of gedeeltelijk in gebruik is als voorziening voor het parkeren van voertuigen,Class,,{8F492648-6EF2-4f8a-87C9-2440230D4137},,Parkeren,,,,,,,,,,,,20022026-121457,
47,Parkeerrecht,Het onder bepaalde voorwaarden (zoals betaling parkeerbelasting of parkeergeld) ontstane recht om een voertuig gedurende een bepaalde of onbepaalde periode op een daartoe benoemde parkeerplaats of in/op een daartoe benoemde parkeervoorziening te parkeren.,Class,,{9E0936E5-6B50-4205-BA5D-FEB80486D6F1},,Parkeren,,,,,,,,,,,,20022026-121457,
48,Parkeerscan,Waarneming van een parkeeractie door een scanauto,Class,,{653EEEA7-ED82-427d-BD72-86C847793AD6},,Parkeren,,,,,,,,,,,,20022026-121457,
49,Parkeervergunning,Officiele toestemming dat je op een bepaalde plek mag parkeren,Class,,{FF448272-AB9D-4ec9-B4BE-E60E2552817A},,Parkeren,,,,,,,,,,,,20022026-121457,
50,Parkeervlak,Parkeergelegenheid bestemd voor het parkeren van een of meerdere voertuigen direct langs de doorgaande weg gelegen.,Class,,{5E5C58AD-1634-4656-A183-EBA00F18F30E},,Parkeren,,,,,,,,,,,,20022026-121457,
51,Parkeerzone,Een afgebakend gebied binnen een gemeente  waar specifieke parkeerregels en -voorwaarden van toepassing zijn.,Class,,{27219A32-3B52-4f54-AA67-A972F4B7D9D0},,Parkeren,,,,,,,,,,,,20022026-121457,
52,Productgroep,Groepering van producten,Class,,{209ACADD-34C7-4dc8-90AD-C6B3E092FBFD},,Parkeren,,,,,,,,,,,,20022026-121457,
53,Productsoort,Typologie van een product,Class,,{1CB4051D-B78A-48f0-AE3E-A98D997A5612},,Parkeren,,,,,,,,,,,,20022026-121457,
54,Straatsectie,Gedeelte van een straat,Class,,{339ACCD5-1D13-4a48-83DE-05A0A4A54C43},,Parkeren,,,,,,,,,,,,20022026-121457,
55,Voertuig,Vervoermiddel bestemd voor het verkeer over wegen,Class,,{6AD98160-FFE6-4105-A724-5D5733C87CD8},,Parkeren,,,,,,,,,,,,20022026-121457,
56,Stremming,Situatie waarbij de doorstroming van het (vaar)wegverkeer plaatselijk is geblokkeerd als gevolg van een incident,Class,,{999725EE-737F-410e-906B-9865EBED3597},,Mobiliteit,,,,,,,,,,,,20022026-121457,
57,Strooidag,Dag waarop op wegen gestrooid wordt ter voorkoming van gladheid,Class,,{E2448A6D-3AE0-4884-AD5C-215A9E7166DE},,Mobiliteit,,,,,,,,,,,,20022026-121457,
58,Strooiroute,Traject waarop het strooien plaatsvindt,Class,,{73090FF8-12FD-471e-80FD-DBFB2FF97D7B},,Mobiliteit,,,,,,,,,,,,20022026-121457,
59,StrooirouteUitvoering,De route die uiteindelijk is gevolgd voor het strooien ,Class,,{B825D33A-6DCE-4263-A031-E6E92C4EE86B},,Mobiliteit,,,,,,,,,,,,20022026-121457,
60,Verkeersbesluit,"Een besluit van een wegbeheerder om een bepaald verkeersteken te plaatsen, te wijzigen of in te trekken of een bepaalde fysieke maatregel te treffen. ",Class,,{3F83DAA3-C37F-42b2-8D35-D75B840172F8},,Mobiliteit,,,,,,,,,,,,20022026-121457,
61,Verkeerstelling,"Een onderzoek om inzicht te krijgen in het verkeer, in de hoeveelheid verkeer, de verdeling en de gereden snelheid.",Class,,{DBE739FD-EBC4-4650-8A2B-714294A63A73},,Mobiliteit,,,,,,,,,,,,20022026-121457,
62,VLogInfo,V-log is een open standaard voor datalogging van een verkeersregelinstallatie.,Class,,{E4EEBD4D-A41E-4c9d-8099-CDA45BFF0056},,Mobiliteit,,,,,,,,,,,,20022026-121457,
63,Contact,Persoon waarmee communicatie plaatsvindt,Class,,{3BF6985C-06AB-4cfc-9A0E-5CC37C224245},,Economie,,,,,,,,,,,,20022026-121457,
64,Hotel,Gebouw waar je tegen betaling kunt logeren.,Class,,{5805FA72-C0CE-43c1-A53F-B81166AEFDD4},,Economie,,,,,,,,,,,,20022026-121457,
65,Hotelbezoek,Verblijf in een hotel,Class,,{669000E9-25D6-4346-B718-516CDB8B88B7},,Economie,,,,,,,,,,,,20022026-121457,
66,Verkooppunt,Locatie waar iets wordt verkocht,Class,,{8F05E7BA-E7ED-45d1-9626-C8D7FBDB2F1B},,Economie,,,,,,,,,,,,20022026-121457,
67,Werkgelegenheid,"De vraag naar arbeid, te berekenen door de totale productie te delen door de arbeidsproductiviteit per persoon.",Class,,{EB35F5B8-9289-49cc-8DF4-8BD20EC662A9},,Economie,,,,,,,,,,,,20022026-121457,
68,Winkelvloeroppervlak,Gemeten oppervlakte in vierkante meters van een winkel,Class,,{0EABA880-434F-41c3-A41D-0002222AAC2A},,Economie,,,,,,,,,,,,20022026-121457,
69,Aanvraag Leerlingenvervoer,Een aanvraag voor een leerling die recht heeft op vervoer van en naar onderwijs.,Class,,{07F40D10-74AC-4f56-8B71-A236A63C2122},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
70,AanvraagOfMelding,Komt overeen met een VJV,Class,,{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
71,AanvraagVrijstelling,Vrijstelling van een aanvraag voor leerlingenvervoer,Class,,{450F47A7-758F-400c-82EB-05535EBDD426},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
72,Beschikking Leerlingenvervoer,Een formeel besluit dat genomen wordt door een bevoegde instantie over het al dan niet toekennen van leerlingenvervoer aan een bepaalde leerling.,Class,,{81870665-768C-4fb2-8A4F-A9CB7989C884},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
73,Beslissing,Selectie van een voorstelbare werkelijkheid (voorkeursvariant) uit een aantal mogelijke werkelijkheden (varianten) op basis van een verzameling van criteria.,Class,,{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
74,Doorgeleiding OM,De overdracht van een leerplichtzaak aan het Openbaar Ministerie voor juridische vervolging.,Class,,{90E49701-2A06-4669-9199-6FCFDFCA707A},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
75,HALT-verwijzing,"Jongeren van 12 tot 18 jaar die strafbare feiten plegen, zoals bijvoorbeeld: winkeldiefstal, vernieling, openbaar dronkenschap of oplichting kunnen naar Halt worden verwezen. In sommige gevallen is daarvoor toestemming nodig van het Openbaar Ministerie.",Class,,{70E3C6AF-1117-4cfc-B61F-0D168010FFB9},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
76,Klacht Leerlingenvervoer,Een uiting van ontevredenheid over het vervoer van leerlingen.,Class,,{07FE66E8-8316-406b-A590-922C2E7B4305},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
77,Leerplichtambtenaar,Ambtenaar die toezicht houdt op de uitvoering van de leerplichtwet.,Class,,{B369B374-F560-4ea6-9A8B-DBBCB4961EFF},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
78,Procesverbaal Onderwijs,Een officieel document dat een overtreding van de leerplichtwet vastlegt.,Class,,{697F1730-B439-4b35-8799-1B2E9AB04548},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
79,Verlofaanvraag,"Een verzoek om toestemming te krijgen iets te doen, bijvoorbeeld vakantie of studie",Class,,{E9DECE41-F7F5-49f1-94B5-63DE941F6094},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
80,Vervoerder,"Degene die openbaar vervoer of besloten busvervoer verricht, niet in de hoedanigheid van bestuurder van een auto, bus, trein, metro, tram of een via een geleidesysteem voortbewogen voertuig.",Class,,{613E192A-D0F2-4e67-BE73-51C09197EE3D},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
81,Verzuimmelding,Een melding dat een leerling niet op school verschijnt. De school moet actie ondernemen naar de leerling (en zijn ouders). Een school moet het verzuim melden bij de gemeente. ,Class,,{252C70B1-4E02-4033-B2B5-86F65496D7AB},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
82,Vrijstelling,Een formeel besluit waarbij een leerling wordt ontheven van de leerplicht.,Class,,{B8584CD2-A54A-4a59-82B6-A597A0864CFA},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
83,Ziekmelding Leerlingenvervoer,Een melding van een zieke leerling die recht heeft op vervoer van en naar onderwijs.,Class,,{7689A6B7-2A9E-42db-A028-E4601305DBFF},,Leerplicht en Leerlingenvervoer,,,,,,,,,,,,20022026-121457,
84,Inschrijving,Deelname van iemand aan een opleiding bij een onderwijsinstelling.,Class,,{CFFD5F20-5FA9-4d93-AD34-6867D64A58B9},,Onderwijs,,,,,,,,,,,,20022026-121457,
85,Leerjaar,Is de codering van het jaar of het niveau waarin de leerling onderwijs volgt.,Class,,{D7ECEB92-BE50-4e30-9F27-54A008BC75DF},,Onderwijs,,,,,,,,,,,,20022026-121457,
86,Leerling,"Mens die een opleiding volgt, heeft gevolgd of gaat volgen of opgaat of is opgegaan voor een toets. (Bron: KOI)",Class,,{266057AF-58BD-42e1-B4D5-16EB266B9B7A},,Onderwijs,,,,,,,,,,,,20022026-121457,
87,Locatie,De locatie beschrijft middels co&#246;rdinaten de ruimtelijke dimensie of ruimtelijke afbakening van een regel of van een objecttype die in de regel beschreven wordt. (CIMOW),Class,,{3119A4DB-BB23-4adc-98BD-82F2D7996C6B},,Onderwijs,,,,,,,,,,,,20022026-121457,
88,Loopbaanstap,"Een logische en ook uitdagende stap naar een volgende functie binnen dezelfde functiefamilie of een andere, op hetzelfde schaalniveau of op een schaalniveau hoger.",Class,,{0E3DE26B-C535-4a03-98A4-8D36DC3D5297},,Onderwijs,,,,,,,,,,,,20022026-121457,
89,Onderwijsloopbaan,"Loopbaan als leerling in het onderwijs; loopbaan als leerling op school; tijd die iemand als leerling heeft doorgebracht op school, vaak met de bijgedachte aan de daarbij opgedane kennis en ervaring; tijd die men schoolgegaan heeft; onderwijs<font color=""#0e0e0e"">carri&#232;re</font>; schoolloopbaan; school<font color=""#0e0e0e"">carri&#232;re</font>; schooltijd; de schooljaren",Class,,{F47ACE79-C476-479f-A3A3-729E65AF3D32},,Onderwijs,,,,,,,,,,,,20022026-121457,
90,Onderwijsniveau,De hoogte van een soort onderwijs in relatie tot andere soorten onderwijs,Class,,{96AB51D0-52E5-4515-B21F-98B30C4B9C42},,Onderwijs,,,,,,,,,,,,20022026-121457,
91,Onderwijssoort,Typologie voor onderwijs,Class,,{8AF9FAE6-13D8-484d-97F5-2A3839BC8618},,Onderwijs,,,,,,,,,,,,20022026-121457,
92,Ouder Of Verzorger,Een persoon die wettelijk verantwoordelijk is voor de zorg en opvoeding van een kind.,Class,,{51C8E3DF-FFF4-4a20-9CB2-AA5FA50579E2},,Onderwijs,,,,,,,,,,,,20022026-121457,
93,School,"Gebouw in gebruik voor basis, middelbaar of hoger onderwijs.",Class,,{32DFC5DD-79D9-45d5-8F9D-7D5125961817},,Onderwijs,,,,,,,,,,,,20022026-121457,
94,Startkwalificatie,Diploma van een opleiding als bedoeld in de WEB of een diploma hoger algemeen voortgezet onderwijs of voorbereidend wetenschappelijk onderwijs als bedoeld in de WVO;,Class,,{E8301577-1A49-43cf-A2CA-0F042584EBB3},,Onderwijs,,,,,,,,,,,,20022026-121457,
95,Uitschrijving,Beeindiging van een inschrijving van een leerling bij een school,Class,,{133AF611-9FA0-4a09-BF12-74C5FA5F6F60},,Onderwijs,,,,,,,,,,,,20022026-121457,
96,Archeologiebesluit,Een professioneel oordeel dat gebaseerd is op algemeen aanvaarde wetenschap ten aanzien van de archeologie,Class,,{836E51BF-65E9-4482-B555-C9AB737D264D},,Archeologie,,,,,,,,,,,,20022026-121457,
97,Artefact,"De benaming voor ieder verplaatsbaar object dat door de mens is vervaardigd, bewerkt en/of gebruikt. ",Class,,{2C230EE7-036D-48be-B82A-FF45598170F7},,Archeologie,,,,,,,,,,,,20022026-121457,
98,Artefactsoort,Typering van artefacten,Class,,{67CF25EB-EBB0-4185-8171-1F9DD3B5D212},,Archeologie,,,,,,,,,,,,20022026-121457,
99,boring,"Een verticale grondmonstername binnen een project
De gegevens over het geheel van activiteiten, voor zover relevant voor het onderzoek, dat tot doel heeft door boren een gat in de ondergrond te maken om monsters uit de ondergrond te nemen en/of metingen aan de ondergrond te doen.
Een middel om door boren of steken toegang te krijgen tot de ondergrond om bijvoorbeeld geroerde en/of ongeroerde monsters aan de ondergrond te ontlenen voor nader onderzoek. ",Class,,{E11FDCA7-7538-4353-83FF-72164D928452},,Archeologie,,,,,,,,,,,,20022026-121457,
100,Doos,Een afsluitbaar object waar iets in wordt opgeborgen of verpakt.,Class,,{703CAFCF-FDC0-4861-AA76-1692303DE7BE},,Archeologie,,,,,,,,,,,,20022026-121457,
101,Kaart,De geografische weergave van een gedeelte van het aardoppervlak,Class,,{F28DDE36-7BE4-45f7-A820-FFF0261CAA4E},,Archeologie,,,,,,,,,,,,20022026-121457,
102,locatie,Een specifieke plaats,Class,,{F25EE5A8-2CF4-498b-8DAD-8EEE48FAF3A5},,Archeologie,,,,,,,,,,,,20022026-121457,
103,Magazijnlocatie,Locatie van een magazijn,Class,,{4C1543FD-250B-4291-9B23-BC9D3D9C0C4A},,Archeologie,,,,,,,,,,,,20022026-121457,
104,Magazijnplaatsing,Het ergens neerzetten van een object in een magazijn.,Class,,{F954FB72-AE88-4a0e-A3D8-555FCF8D9C9F},,Archeologie,,,,,,,,,,,,20022026-121457,
105,Project,"Geheel van activiteiten uitgevoerd in een tijdelijk samenwerkingsverband gericht op het binnen bepaalde randvoorwaarden (bv. tijd, geld) bereiken van een vooraf gedefinieerd resultaat.",Class,,{E42A32F7-262F-4005-9EB9-4674B76E8825},,Archeologie,,,,,,,,,,,,20022026-121457,
106,Put,"Grondspoor, veelal verstevigd en gefundeerd aangelegd, bedoeld voor de tijdelijke opslag van danwel water (waterput) danwel uitwerpselen en afval (beerput).",Class,,{17286CE1-21F2-454b-95A6-3E4C0C6E2453},,Archeologie,,,,,,,,,,,,20022026-121457,
107,Spoor,Een blijk van eerdere aanwezigheid.,Class,,{14939C33-2DCE-41bf-A2BE-FF1EDD292FE7},,Archeologie,,,,,,,,,,,,20022026-121457,
108,Stelling,"Een systeem om goederen op te slaan die worden vervoerd en opgeslagen op pallets, in bundels of per stuk.(Wikipedia)",Class,,{382D408F-41A3-49d2-9F66-DFFA6C75590D},,Archeologie,,,,,,,,,,,,20022026-121457,
109,Vindplaats,Een plek waar men iets gevonden heeft.,Class,,{84DED9A9-2D33-4a77-94F2-29657024590F},,Archeologie,,,,,,,,,,,,20022026-121457,
110,Vlak,"Plat, oneindig oppervlak of variëteit zonder enige kromming. ",Class,,{0644BD52-8C2B-462d-94B9-9C99908952F5},,Archeologie,,,,,,,,,,,,20022026-121457,
111,Vondst,"Overblijfsel, voorwerp of ander spoor van menselijke aanwezigheid in het verleden afkomstig van een archeologisch monument",Class,,{F8283401-70F8-41b8-A97C-32A9074AD4B1},,Archeologie,,,,,,,,,,,,20022026-121457,
112,Vulling,"Dunne wegeringsplank gebruikt om de ruimte tussen de bovenste kimweger en de onderste balkweger op te vullen (Sopers, 1974).",Class,,{8417459E-2193-44a2-A1AC-38C39EA93CBF},,Archeologie,,,,,,,,,,,,20022026-121457,
